Page,Question,Answer
1,OCI홀딩스의 현재 투자의견은 무엇으로 제시되어 있나요?,매수
1,OCI홀딩스의 목표주가는 얼마로 상향 제시되었나요?,"270,000원"
1,리포트 작성일 기준 현재 주가는 얼마로 나와 있나요?,"198,200원"
1,현재 주가 기준 상승여력은 몇 퍼센트로 제시되어 있나요?,36.2%
1,2023년 기준 OCI홀딩스의 영업이익률은 몇 퍼센트인가요?,20.0%
1,2024년 예상 EPS는 얼마로 제시되어 있나요?,"5,005원"
1,2025년 예상 영업이익은 얼마로 전망되고 있나요?,-58십억
1,2026년 예상 매출액은 얼마인가요?,"4,314십억"
1,12개월 선행 PER은 기존 몇 배에서 몇 배로 상향 적용되었나요?,10배에서 15배
1,2027년 예상 ROE는 몇 퍼센트로 제시되어 있나요?,11.2%
2,이번 리포트에서 언급된 미국-이란 전쟁 이후 국제유가가 되돌아갈 것으로 보는 배럴당 가격 범위는 얼마에서 얼마인가요?,60~70달러
2,미국이 중국 신장산 폴리실리콘 수입을 차단하기 위해 적용 중인 법의 약칭은 무엇인가요?,UFLPA
2,미국이 중국의 우회 수출을 규제하기 위해 반덤핑·상계관세를 적용 중인 국가 중 하나를 말해보세요.,"말레이시아, 베트남, 캄보디아, 태국 중 택1"
2,미국이 중국 태양광 공급망을 배제하기 위해 추진 중인 추가 규제 중 하나로 언급된 약칭은 무엇인가요?,PFE 또는 FEOC
2,미국이 중국산 폴리실리콘을 대상으로 진행 중인 조사의 명칭은 Section 몇 번 조사인가요?,Section 232
2,미국이 반덤핑·상계관세를 추가로 검토 중인 국가 중 하나로 언급된 남아시아 국가 이름은 무엇인가요?,인도
2,미국-이란 전쟁으로 인해 화석연료 공급망의 어떤 특성이 드러났다고 리포트에서 언급하나요? 한 단어로 답해주세요.,취약성
2,리포트에서 화석연료 대비 지정학적 변수에 덜 좌우된다고 언급된 에너지원 세 가지 중 하나를 말해보세요.,"태양광, 풍력, 원자력 중 택1"
2,"리포트에 따르면, 각국이 과거의 효율성 대신 앞으로 최우선 가치로 삼을 것으로 전망되는 것 중 하나는 자급력과 무엇인가요?",안전성
2,"미국-이란 전쟁으로 인한 변화로 리포트에서 제시한 두 가지 영향 중 하나는 신재생에너지 매력도 증가이고, 다른 하나는 미국 어느 정당의 중간 선거 승리 가능성 하락인가요?",공화당
3,AD/CVD 규제에서 예상되는 관세율 범위가 어떻게 되나요?,94~190%
3,AD/CVD 규제가 적용될 예정인 국가는 어디인가요?,"인도, 인도네시아, 라오스"
3,Section 232 조치의 조사 결과 발표 데드라인은 언제인가요?,3월 말
3,Section 232 규제가 적용될 예정인 국가는 어디인가요?,중국
3,PFE 규제에서 FEOC 비중이 몇 퍼센트를 넘으면 AMPC 세액공제를 받을 수 없나요?,50%
3,PFE 규제는 몇 년부터 적용 중인가요?,2026년
3,PFE 규제의 타겟 품목에는 어떤 에너지 관련 설비들이 포함되나요?,태양광/풍력/배터리
3,리포트에서 제시한 OCI홀딩스의 적정 12MF PER 배수는 얼마인가요?,15배
3,1차 폴리실리콘 가격 반등 사이클이 발생한 기간은 언제인가요?,2013~2014년
3,리포트에서 폴리실리콘 생산능력 축소가 예상되는 연도는 언제인가요?,2026년
4,미국 태양광 연간 수요는 보고서에서 어느 정도 수준으로 가정하고 있나요?,50GW
4,퍼스트솔라의 박막형 태양전지 명목 생산능력은 몇 GW로 제시되어 있나요?,19GW
4,보고서에서 예상하는 중국 폴리실리콘 TRQ 설정 물량 범위는 몇만 톤으로 제시되나요?,3~6만 톤
4,보고서에서 3~6만 톤의 폴리실리콘은 태양광 기준으로 몇 GW에 해당한다고 설명하나요?,15~30GW
4,TRQ를 초과하는 중국 폴리실리콘에 부과될 것으로 예상되는 관세 수준은 kg당 얼마 이상인가요?,10달러
4,웨이퍼 공장 인수로 2026년 추가될 것으로 예상되는 매출액은 얼마인가요?,"1,953억원"
4,웨이퍼 공장 인수로 2026년 추가될 것으로 예상되는 영업이익은 얼마인가요?,388억원
4,웨이퍼 공장 인수로 2026년에 예상되는 웨이퍼 사업의 영업이익률(OPM)은 몇 %인가요?,20%
4,동사가 계획한 대로 2027년까지 웨이퍼 증설이 완료되면 웨이퍼 캐파는 몇 GW까지 확대될 예정인가요?,5.4GW
4,"2027년까지 웨이퍼 증설이 완료될 경우, 웨이퍼에서 소비되는 폴리실리콘은 약 몇 톤으로 제시되나요?",1만톤
5,OCI홀딩스가 현재 연간 생산 가능한 폴리실리콘 규모는 얼마로 제시되어 있나요?,3.5만톤
5,머스크가 계획 중인 미국 태양광 생산능력은 몇 GW로 언급되나요?,200GW
5,OCI홀딩스가 과거 발표한 2027년 폴리실리콘 생산능력 증설 목표는 몇 만톤인가요?,5.7만톤
5,OCI Energy가 보유한 태양광/ESS 발전자산 파이프라인 규모는 몇 GW인가요?,7GW
5,최근 OCI홀딩스가 매각했던 발전자산 가격으로 적용된 W당 단가는 어느 수준으로 표현되나요?,10센트 초반
5,7GW 파이프라인 가치를 산정할 때 적용한 달러 환율은 얼마인가요?,"1,450원"
5,위 환율과 단가를 적용해 산출한 7GW 파이프라인 가치는 약 얼마로 제시되나요?,1.1조원
5,구글이 인수한 인터섹트의 태양광 파이프라인 가치는 W당 얼마가 넘는다고 언급되나요?,1달러
5,OCI홀딩스의 3.5만톤 폴리실리콘은 태양광 모듈 기준 몇 GW 수준으로 전환 가능하다고 하나요(범위의 하단)?,15GW
5,OCI홀딩스의 3.5만톤 폴리실리콘은 태양광 모듈 기준 몇 GW 수준으로 전환 가능하다고 하나요(범위의 상단)?,18GW
6,2025년 OCI홀딩스 전체 매출액 전망치는 얼마로 나와 있어?,"3,397.3십억원"
6,2026년 OCITRS 매출액 전망치는 얼마야?,"1,133.4십억원"
6,2025년 DCRE 매출액 전망치는 얼마로 제시돼 있어?,451.5십억원
6,2026년 OCI SE+E 영업이익 전망치는 얼마야?,97.9십억원
6,2025년 전체 영업이익 전망치는 얼마로 나와 있어?,-57.6십억원
6,2026년 전체 세전이익 전망치는 얼마야?,426.6십억원
6,2025년 지배주주 순이익 전망치는 얼마로 제시돼 있어?,-84.1십억원
6,리포트에서 제시한 OCI홀딩스 목표주가는 얼마야?,"269,920원"
6,리포트 기준 현재주가는 얼마로 적혀 있어?,"198,200원"
6,목표주가 대비 괴리율은 몇 퍼센트로 제시돼 있어?,36.2%
7,미국에서 가동 중인 폴리실리콘 생산능력은 몇 GW야?,25GW
7,미국에서 건설 중인 폴리실리콘 생산능력은 몇 GW로 나와 있어?,8GW
7,미국 잉곳 생산능력 중 현재 가동 중인 규모는 몇 GW야?,3GW
7,미국 잉곳 생산능력에서 증설 예정 규모는 몇 GW로 제시돼 있어?,25GW
7,미국 웨이퍼 생산능력 중 가동 중인 규모는 몇 GW야?,3GW
7,미국 셀 생산능력에서 현재 가동 중인 규모는 몇 GW로 나와 있어?,0GW
7,미국 셀 생산능력에서 건설 중인 규모는 몇 GW야?,12GW
7,미국 셀 생산능력에서 증설 예정 규모는 몇 GW로 제시돼 있어?,18GW
7,미국 모듈 생산능력 중 가동 중인 규모는 몇 GW야?,67GW
7,OCI홀딩스 폴리실리콘 판매 전략에서 LTA 비중은 몇 %로 설정돼 있어?,40%
8,2024년에 OCI홀딩스의 매출액은 얼마로 예상되나요?,"3,577십억원"
8,2025년 예상 영업이익률은 몇 퍼센트인가요?,-1.7%
8,2026년 예상 EBITDA 마진율은 몇 퍼센트인가요?,18.4%
8,2027년 예상 당기순이익은 얼마인가요?,492십억원
8,2024년 말 기준 현금 및 현금성자산은 얼마로 예상되나요?,"1,143십억원"
8,2025년 말 기준 단기금융부채는 얼마인가요?,896십억원
8,2026년 지배주주귀속 순이익률은 몇 퍼센트로 제시되어 있나요?,8.2%
8,2027년 예상 자산총계는 얼마인가요?,"9,009십억원"
8,2024년 예상 FCF(자유현금흐름)는 얼마인가요?,-240십억원
8,2025년에 영업활동으로 인한 현금흐름은 얼마로 예상되나요?,249십억원
9,2026년 3월 20일 기준 OCI홀딩스의 목표주가는 얼마로 제시됐나요?,"270,000원"
9,2026년 2월 19일 리포트에서 제시된 OCI홀딩스 목표주가는 얼마인가요?,"182,000원"
9,2026년 2월 11일 리포트에서 OCI홀딩스의 투자의견은 무엇이었나요?,매수
9,2025년 11월 12일에 제시된 OCI홀딩스 목표주가는 얼마였나요?,"146,000원"
9,2025년 10월 14일 리포트에서 제시된 괴리율은 몇 %였나요?,-15.84%
9,2025년 7월 25일 리포트에서 OCI홀딩스의 목표주가는 얼마였나요?,"128,000원"
9,2025년 4월 15일 리포트에서 제시된 괴리율은 몇 %인가요?,-19.02%
9,2024년 7월 12일 리포트에서 OCI홀딩스의 목표주가는 얼마였나요?,"133,000원"
9,2023년 10월 27일 리포트에서 제시된 OCI홀딩스 목표주가는 얼마인가요?,"165,000원"
9,2025년 12월 31일 기준 최근 1년간 공표된 투자등급 중 ‘매수(매수)’ 비율은 몇 %인가요?,79.76%
5,이 회사와 협업 가능성이 높을 것으로 예상되는 사람은 누구인가요?,일론 머스크
4,중국 폴리실리콘에 대한 Section 232는 무엇으로 선정될 가능성이 높나요?,TRQ
4,25년 11월 미국 정부의 셧다운 기간은?,43일
4,리포트에 따르면 본사는 단순 폴리실리콘 생산자에서 어떤 기업으로 나아가고자 하나요?,복합 태양광 발전 기업
3,2013~14년에는 동사 12MF PER이 10배에서 몇 배 수준까지 리레이팅되었나요?,20~50배
3,폴리실리콘 시장에 대한 악재 해소 내용 중 2025년에 통과된 미국의 법안 이름은?,OBBBA
3,2020~2021년도에 리레이팅이 이뤄지지 못한 이유는 중국의 어떤 것이 예견되었기 때문이었나?,공급과잉
8,2027년 예상되는 OCI 홀딩스의 기말현금 액수는?,1055십억원
