Page,Question,answer_refined,Answer,answer_refined_qa,answer_refined_qa_result,answer_refined_result,answer_qa_only,answer_qa_only_result,answer_plain,answer_plain_result
1,OCI홀딩스의 현재 투자의견은 무엇으로 제시되어 있나요?,매수,매수,매수,O,O,매수,O,매수,O
1,OCI홀딩스의 목표주가는 얼마로 상향 제시되었나요?,"270,000원","270,000원","270,000원",O,O,"270,000원",O,"270,000원",O
1,리포트 작성일 기준 현재 주가는 얼마로 나와 있나요?,"198,200원","198,200원","198,200원",O,O,"198,200원",O,"133,000원",X
1,현재 주가 기준 상승여력은 몇 퍼센트로 제시되어 있나요?,36.2%,36.2%,36.2%,O,O,36.2%,O,36.2%,O
1,2023년 기준 OCI홀딩스의 영업이익률은 몇 퍼센트인가요?,20.0%,20.0%,20.0%,O,O,20.0%,O,20.0%,O
1,2024년 예상 EPS는 얼마로 제시되어 있나요?,"5,005원","5,005원","5,005원",O,O,"5,005원",O,"5,005원",O
1,2025년 예상 영업이익은 얼마(십억원 기준)로 전망되고 있나요?,-58,-58,-58십억원,O,O,-58십억원,O,-58,O
1,2026년 예상 매출액은 얼마(십억원 기준)인가요?,"4,314십억원","4,314","4,314십억원",O,O,"4,313.6십억원",O,"4,314",O
1,12개월 선행 PER은 기존 몇 배에서 몇 배로 상향 적용되었나요?,10배에서 20~50배,10배에서 15배,10배에서 15배,O,X,10배에서 15배,O,10.4배에서 11.7배로 상향 적용되었습니다.,X
1,2027년 예상 ROE는 몇 퍼센트로 제시되어 있나요?,11.2%,11.2%,11.2%,O,O,11.2%,O,11.2%,O
2,이번 리포트에서 언급된 미국-이란 전쟁 이후 국제유가가 되돌아갈 것으로 보는 배럴당 가격 범위는 얼마에서 얼마인가요?,60~70달러,60~70달러,60~70달러,O,O,알 수 없음,X,60~70달러,O
2,미국이 중국 신장산 폴리실리콘 수입을 차단하기 위해 적용 중인 법의 약칭은 무엇인가요?,UFLPA,UFLPA,UFLPA,O,O,UFLPA,O,UFLPA,O
2,미국이 중국의 우회 수출을 규제하기 위해 반덤핑·상계관세를 적용 중인 국가 중 하나를 말해보세요.,말레이시아,"말레이시아, 베트남, 캄보디아, 태국 중 택1",말레이시아,O,O,인도,X,베트남,O
2,미국이 중국 태양광 공급망을 배제하기 위해 추진 중인 추가 규제 중 하나로 언급된 약칭은 무엇인가요?,PFE(또는 FEOC),PFE 또는 FEOC,PFE(또는 FEOC),O,O,PFE(또는 FEOC),O,PFE(또는 FEOC),O
2,미국이 중국산 폴리실리콘을 대상으로 진행 중인 조사의 명칭은 Section 몇 번 조사인가요?,Section 232,Section 232,Section 232,O,O,Section 232,O,232,O
2,미국이 반덤핑·상계관세를 추가로 검토 중인 국가 중 하나로 언급된 남아시아 국가 이름은 무엇인가요?,인도,인도,인도,O,O,인도,O,인도,O
2,미국-이란 전쟁으로 인해 화석연료 공급망의 어떤 특성이 드러났다고 리포트에서 언급하나요? 한 단어로 답해주세요.,취약성,취약성,취약성,O,O,취약성,O,취약성,O
